Number,Player,Last Season
Number 3,Igors Stepanovs,01
Number 3,David O'Leary,92
Number 3,Andy Linighan,92
Number 3,Lee Dixon,93
Number 3,Nigel Winterburn,00
Number 3,Steve Williams,87
Number 3,Tommy Caton,85
Number 3,Stewart Robson,82
Number 3,Kenny Sansom,88
Number 3,John Devine,80
Number 3,Steve Walford,80
Number 3,Peter Simpson,75
Number 3,Sammy Nelson,80
Number 3,Sammy Nelson,72
Number 3,Sammy Nelson,70
Number 3,Pat Rice,70
Number 3,Bob McNab,75
Number 3,Tom Walley,67
Number 3,Peter Storey,68
Number 3,Peter Simpson,67
Number 3,Frank McLintock,66
Number 3,Fred Clarke,65
Number 3,Billy McCullough,66
Number 3,Billy McCullough,60
Number 3,Len Wills,59
Number 3,Len Wills,57
Number 3,Dennis Evans,59
Number 3,Walley Barnes,55
Number 3,Joe Wade,54
Number 3,Joe Mercer,52
Number 3,Walley Barnes,50
Number 3,Laurie Scott,50
Number 3,Lionel Smith,53
Number 4,Ben White,22
Number 4,William Saliba,21
Number 4,Mohamed Elneny,19
Number 4,Per Mertesacker,18
Number 4,Cesc Fàbregas,11
Number 4,Patrick Vieira,05
Number 4,Stefan Schwarz,95
Number 4,Paul Davis,95
Number 4,Tony Adams,94
Number 4,Martin Keown,94
Number 4,Ian Selley,93
Number 4,Paul Davis,92
Number 4,David Hillier,93
Number 4,Ray Parlour,92
Number 4,Lee Dixon,92
Number 4,Nigel Winterburn,93
Number 4,Kevin Campbell,92
Number 4,Sigurdur Jónsson,91
Number 4,Steve Bould,92
Number 4,Paul Davis,89
Number 4,Kenny Sansom,87
Number 4,Michael Thomas,92
Number 4,Paul Davis,86
Number 4,Martin Keown,86
Number 4,Ian Allinson,86
Number 4,Steve Williams,88
Number 4,Chris Whyte,84
Number 4,Stewart Robson,83
Number 4,Paul Davis,81
Number 4,Brian Talbot,85
Number 4,David Price,79
Number 4,Richie Powling,78
Number 4,Trevor Ross,77
Number 4,Peter Simpson,76
Number 4,Eddie Kelly,76
Number 4,Frank McLintock,72
Number 4,Peter Storey,76
Number 4,Eddie Kelly,72
Number 4,David Court,70
Number 4,Micky Boot,67
Number 4,Peter Storey,66
Number 4,Billy McCullough,66
Number 4,Frank McLintock,70
Number 4,Geoff Strong,65
Number 4,Terry Neill,66
Number 4,Laurie Brown,64
Number 4,Vic Groves,64
Number 4,John Barnwell,64
Number 4,John Snedden,63
Number 4,Laurie Brown,62
Number 4,Gerry Ward,59
Number 4,Tommy Docherty,59
Number 4,Cliff Holton,58
Number 4,Len Wills,57
Number 4,Vic Groves,60
Number 4,Dave Bowen,57
Number 4,Peter Goring,58
Number 4,Dave Bowen,54
Number 4,Billy Dickson,54
Number 4,Arthur Shaw,53
Number 4,Ray Daniel,52
Number 4,Joe Mercer,51
Number 4,Alex Forbes,55
Number 4,Bryn Jones,49
Number 4,Archie Macaulay,50
Number 5,Thomas Partey,22
Number 5,Sokratis Papastathopoulos,20
Number 5,Gabriel Paulista,17
Number 5,Thomas Vermaelen,14
Number 5,Kolo Touré,09
Number 5,Martin Keown,04
Number 5,Martin Keown,94
Number 5,Ian Selley,94
Number 5,Andy Linighan,95
Number 5,Nigel Winterburn,92
Number 5,Colin Pates,92
Number 5,David O'Leary,92
Number 5,Tony Adams,93
Number 5,Steve Bould,99
Number 5,Gus Caesar,88
Number 5,Tony Adams,86
Number 5,Tony Adams,84
Number 5,Steve Walford,81
Number 5,Willie Young,78
Number 5,Pat Howard,77
Number 5,Richie Powling,77
Number 5,David O'Leary,90
Number 5,Terry Mancini,76
Number 5,Peter Simpson,75
Number 5,Jeff Blockley,75
Number 5,John Roberts,72
Number 5,Frank McLintock,73
Number 5,Peter Simpson,69
Number 5,Frank McLintock,68
Number 5,Frank McLintock,65
Number 5,Gordon Ferry,65
Number 5,Terry Neill,70
Number 5,Ian Ure,69
Number 5,Laurie Brown,63
Number 5,Terry Neill,62
Number 5,Dave Bowen,59
Number 5,Jim Fotheringham,58
Number 5,Jim Fotheringham,56
Number 5,Bill Dodgin Jr.,60
Number 5,Alex Forbes,55
Number 5,Billy Dickson,55
Number 5,Bill Dodgin Jr.,54
Number 5,Lionel Smith,52
Number 5,Ray Daniel,53
Number 5,Leslie Compton,51
Number 5,Don Roper,49
Number 5,Denis Compton,49
Number 6,Gabriel Magalhães,21
Number 6,Laurent Koscielny,19
Number 6,Philippe Senderos,10
Number 6,Philippe Senderos,08
Number 6,Martin Keown,95
Number 6,Eddie McGoldrick,94
Number 6,John Jensen,93
Number 6,Steve Bould,92
Number 6,David Hillier,92
Number 6,Jimmy Carter,92
Number 6,Anders Limpar,92
Number 6,Colin Pates,92
Number 6,Michael Thomas,92
Number 6,Andy Linighan,93
Number 6,Perry Groves,91
Number 6,David Rocastle,92
Number 6,Gus Caesar,89
Number 6,Martin Keown,86
Number 6,Tony Adams,02
Number 6,Tommy Caton,86
Number 6,Colin Hill,84
Number 6,Peter Nicholas,83
Number 6,Chris Whyte,83
Number 6,Steve Walford,81
Number 6,Willie Young,82
Number 6,David O'Leary,78
Number 6,Pat Howard,77
Number 6,Peter Simpson,78
Number 6,Richie Powling,77
Number 6,David O'Leary,76
Number 6,John Matthews,75
Number 6,Eddie Kelly,75
Number 6,Charlie George,72
Number 6,Frank McLintock,72
Number 6,John Roberts,73
Number 6,George Graham,69
Number 6,Jimmy McGill,67
Number 6,Tom Walley,66
Number 6,George Armstrong,66
Number 6,Ian Ure,69
Number 6,Frank McLintock,66
Number 6,David Court,65
Number 6,Terry Neill,67
Number 6,Peter Simpson,75
Number 6,John Barnwell,64
Number 6,Vic Groves,64
Number 6,John Petts,62
Number 6,John Snedden,64
Number 6,Gerry Ward,59
Number 6,Tommy Docherty,60
Number 6,Len Wills,58
Number 6,Vic Groves,57
Number 6,Danny Clapton,57
Number 6,Peter Goring,57
Number 6,Cliff Holton,56
Number 6,Peter Goring,55
Number 6,Dave Bowen,59
Number 6,Billy Dickson,54
Number 6,Arthur Shaw,53
Number 6,Dave Bowen,51
Number 6,Arthur Shaw,51
Number 6,Alex Forbes,54
Number 6,Leslie Compton,49
Number 6,Joe Mercer,54
Number 7,Bukayo Saka,21
Number 7,Henrikh Mkhitaryan,20
Number 7,Alexis Sánchez,18
Number 7,Tomas Rosicky,16
Number 7,Robert Pirès,06
Number 7,Nelson Vivas,00
Number 7,David Platt,98
Number 7,Martin Keown,95
Number 7,John Jensen,95
Number 7,Kevin Campbell,95
Number 7,David O'Leary,93
Number 7,Ray Parlour,93
Number 7,Jimmy Carter,93
Number 7,David Hillier,92
Number 7,Michael Thomas,92
Number 7,Anders Limpar,92
Number 7,Kevin Campbell,91
Number 7,Perry Groves,91
Number 7,David O'Leary,91
Number 7,Paul Davis,93
Number 7,Steve Williams,86
Number 7,David Rocastle,92
Number 7,Stewart Robson,86
Number 7,Alan Sunderland,84
Number 7,Brian Talbot,83
Number 7,John Hawley,82
Number 7,Peter Nicholas,82
Number 7,Brian McDermott,82
Number 7,Paul Davis,84
Number 7,John Hollins,82
Number 7,David Price,81
Number 7,Steve Gatting,80
Number 7,Liam Brady,80
Number 7,Alan Hudson,77
Number 7,Alan Ball,77
Number 7,Peter Storey,75
Number 7,Jeff Blockley,75
Number 7,Eddie Kelly,73
Number 7,Peter Marinello,73
Number 7,Peter Marinello,70
Number 7,George Armstrong,76
Number 7,Jimmy Robertson,70
Number 7,John Radford,69
Number 7,George Johnston,68
Number 7,Colin Addison,68
Number 7,Tom Walley,67
Number 7,Tommy Coakley,67
Number 7,David Court,68
Number 7,Gordon Neilson,67
Number 7,Jon Sammels,67
Number 7,Ian Ure,65
Number 7,Terry Anderson,65
Number 7,George Armstrong,65
Number 7,Alan Skirton,66
Number 7,John MacLeod,64
Number 7,Danny Clapton,62
Number 7,Jackie Henderson,59
Number 7,Gordon Nutt,58
Number 7,Jimmy Bloomfield,57
Number 7,Danny Clapton,60
Number 7,Mike Tiddy,57
Number 7,Derek Tapscott,55
Number 7,Jimmy Bloomfield,55
Number 7,Ben Marden,54
Number 7,Arthur Milton,54
Number 7,Freddie Cox,53
Number 7,Freddie Cox,50
Number 7,Ian McPherson,51
Number 7,Archie Macaulay,49
Number 7,Don Roper,52
Number 8,Martin Ødegaard,22
Number 8,Dani Ceballos,21
Number 8,Aaron Ramsey,19
Number 8,Mikel Arteta,16
Number 8,Samir Nasri,11
Number 8,Lassana Diarra,08
Number 8,Freddie Ljungberg,07
Number 8,Michael Black,99
Number 8,Steve Morrow,94
Number 8,Paul Davis,94
Number 8,Ray Parlour,93
Number 8,Ian Wright,98
Number 8,Alan Smith,92
Number 8,Perry Groves,92
Number 8,David Hillier,92
Number 8,Anders Limpar,92
Number 8,Kevin Campbell,93
Number 8,David Rocastle,92
Number 8,Michael Thomas,91
Number 8,Paul Davis,92
Number 8,David O'Leary,90
Number 8,Kevin Richardson,90
Number 8,Martin Hayes,88
Number 8,Gus Caesar,87
Number 8,Steve Williams,85
Number 8,Ian Allinson,86
Number 8,Graham Rix,85
Number 8,Charlie Nicholas,84
Number 8,Paul Gorman,84
Number 8,Brian Talbot,84
Number 8,Paul Davis,88
Number 8,Raphael Meade,83
Number 8,Lee Chapman,83
Number 8,John Hollins,82
Number 8,Brian McDermott,81
Number 8,Paul Vaessen,81
Number 8,Graham Rix,78
Number 8,Alan Sunderland,83
Number 8,John Matthews,78
Number 8,Trevor Ross,78
Number 8,Alan Hudson,78
Number 8,George Armstrong,77
Number 8,Liam Brady,77
Number 8,Alex Cropley,76
Number 8,Liam Brady,75
Number 8,Charlie George,75
Number 8,Alan Ball,76
Number 8,Eddie Kelly,72
Number 8,Charlie George,72
Number 8,Peter Simpson,72
Number 8,Peter Storey,71
Number 8,George Graham,71
Number 8,Charlie George,70
Number 8,George Johnston,68
Number 8,Peter Simpson,68
Number 8,Jon Sammels,71
Number 8,David Court,69
Number 8,George Graham,68
Number 8,Frank McLintock,67
Number 8,Colin Addison,68
Number 8,John Radford,68
Number 8,George Eastham,66
Number 8,John Radford,65
Number 8,Jon Sammels,66
Number 8,David Court,66
Number 8,George Eastham,64
Number 8,Geoff Strong,64
Number 8,George Eastham,62
Number 8,John Barnwell,60
Number 8,Jimmy Bloomfield,59
Number 8,Vic Groves,59
Number 8,John Barnwell,57
Number 8,David Herd,58
Number 8,Ray Swallow,58
Number 8,Jimmy Bloomfield,57
Number 8,Derek Tapscott,58
Number 8,Derek Tapscott,54
Number 8,Peter Goring,53
Number 8,Noel Kelly,50
Number 8,Peter Goring,50
Number 8,Doug Lishman,49
Number 8,Ronnie Rooke,49
Number 8,Jimmy Logie,55
Number 9,Gabriel Jesus,23
Number 9,Alexandre Lacazette,22
Number 9,Lucas Pérez,17
Number 9,Lukas Podolski,15
Number 9,Chu-young Park,12
Number 9,Eduardo,10
Number 9,Júlio Baptista,07
Number 9,José Antonio Reyes,07
Number 9,Francis Jeffers,04
Number 9,Davor Suker,00
Number 9,Nicolas Anelka,99
Number 9,Paul Merson,97
Number 9,John Hartson,95
Number 9,Paul Merson,94
Number 9,Paul Merson,92
Number 9,Kevin Campbell,93
Number 9,Perry Groves,91
Number 9,Anders Limpar,91
Number 9,Niall Quinn,90
Number 9,Alan Smith,95
Number 9,Niall Quinn,88
Number 9,Charlie Nicholas,86
Number 9,Ian Allinson,85
Number 9,Paul Mariner,85
Number 9,Tony Woodcock,84
Number 9,Brian McDermott,84
Number 9,Vladimir Petrovic,83
Number 9,Stewart Robson,83
Number 9,Lee Chapman,83
Number 9,Paul Davis,82
Number 9,Alan Sunderland,83
Number 9,Raphael Meade,82
Number 9,Brian McDermott,82
Number 9,Steve Gatting,81
Number 9,Paul Vaessen,80
Number 9,Frank Stapleton,81
Number 9,Malcolm Macdonald,79
Number 9,Frank Stapleton,76
Number 9,Charlie George,73
Number 9,Peter Marinello,72
Number 9,Peter Storey,70
Number 9,George Graham,70
Number 9,Jon Sammels,69
Number 9,Bobby Gould,69
Number 9,David Court,69
Number 9,George Graham,68
Number 9,Tommy Baldwin,67
Number 9,John Radford,76
Number 9,Joe Baker,66
Number 9,Geoff Strong,62
Number 9,Mel Charles,62
Number 9,Len Julians,59
Number 9,Jackie Henderson,59
Number 9,Vic Groves,58
Number 9,David Herd,60
Number 9,Cliff Holton,58
Number 9,Peter Goring,57
Number 9,Vic Groves,56
Number 9,Don Roper,56
Number 9,Tommy Lawton,55
Number 9,Peter Goring,53
Number 9,Reg Lewis,52
Number 9,Cliff Holton,55
Number 9,Freddie Cox,50
Number 9,Reg Lewis,50
Number 9,Peter Goring,51
Number 9,Doug Lishman,49
Number 9,Ronnie Rooke,49
Number 10,Emile Smith Rowe,22
Number 10,Mesut Özil,20
Number 10,Jack Wilshere,18
Number 10,Robin van Persie,12
Number 10,William Gallas,10
Number 10,Paul Merson,97
Number 10,Dennis Bergkamp,06
Number 10,Ian Selley,95
Number 10,Kevin Campbell,94
Number 10,Alan Smith,91
Number 10,Gus Caesar,90
Number 10,Perry Groves,92
Number 10,Paul Merson,95
Number 10,Steve Bould,89
Number 10,Martin Hayes,88
Number 10,Kevin Richardson,88
Number 10,Ian Allinson,87
Number 10,Perry Groves,88
Number 10,Charlie Nicholas,87
Number 10,Niall Quinn,86
Number 10,Raphael Meade,85
Number 10,Charlie Nicholas,84
Number 10,Tony Woodcock,86
Number 10,Stewart Robson,83
Number 10,Paul Davis,82
Number 10,Peter Nicholas,82
Number 10,Brian McDermott,83
Number 10,Steve Gatting,81
Number 10,John Hollins,80
Number 10,John Devine,79
Number 10,David Price,80
Number 10,Steve Gatting,79
Number 10,Frank Stapleton,79
Number 10,Alex Cropley,76
Number 10,Brian Kidd,76
Number 10,Charlie George,75
Number 10,Charlie George,73
Number 10,John Radford,72
Number 10,Ray Kennedy,74
Number 10,Charlie George,71
Number 10,Eddie Kelly,70
Number 10,George Graham,70
Number 10,John Radford,69
Number 10,David Court,69
Number 10,Bobby Gould,70
Number 10,Peter Simpson,68
Number 10,Colin Addison,67
Number 10,Jon Sammels,69
Number 10,John Radford,66
Number 10,David Court,66
Number 10,Geoff Strong,64
Number 10,George Eastham,66
Number 10,Arfon Griffiths,62
Number 10,Vic Groves,62
Number 10,John Barnwell,59
Number 10,Vic Groves,59
Number 10,Ray Swallow,57
Number 10,Derek Tapscott,57
Number 10,Jimmy Bloomfield,60
Number 10,Derek Tapscott,55
Number 10,Reg Lewis,51
Number 10,Jimmy Logie,50
Number 10,Bryn Jones,49
Number 10,Archie Macaulay,50
Number 10,Denis Compton,49
Number 10,Doug Lishman,56
Number 11,Gabriel Martinelli,22
Number 11,Martin Ødegaard,21
Number 11,Lucas Torreira,20
Number 11,Mesut Özil,18
Number 11,André Santos,13
Number 11,Carlos Vela,11
Number 11,Robin van Persie,10
Number 11,Sylvain Wiltord,04
Number 11,Marc Overmars,00
Number 11,Glenn Helder,97
Number 11,Ray Parlour,95
Number 11,Kevin Campbell,95
Number 11,Eddie McGoldrick,95
Number 11,Ian Selley,95
Number 11,Ray Parlour,93
Number 11,Jimmy Carter,92
Number 11,David O'Leary,92
Number 11,Ian Wright,94
Number 11,Kevin Campbell,92
Number 11,Anders Limpar,92
Number 11,Perry Groves,90
Number 11,Martin Hayes,90
Number 11,Paul Merson,92
Number 11,Brian Marwood,90
Number 11,Kevin Richardson,88
Number 11,Perry Groves,88
Number 11,Martin Hayes,88
Number 11,Graham Rix,86
Number 11,Charlie Nicholas,85
Number 11,Ian Allinson,85
Number 11,Colin Hill,83
Number 11,Brian McDermott,81
Number 11,Paul Davis,81
Number 11,John Hollins,80
Number 11,John Devine,79
Number 11,Jim Harvey,79
Number 11,Alan Hudson,78
Number 11,Graham Rix,84
Number 11,Wilf Rostron,77
Number 11,George Armstrong,77
Number 11,Eddie Kelly,76
Number 11,Alex Cropley,75
Number 11,Brian Kidd,75
Number 11,Liam Brady,77
Number 11,Charlie George,74
Number 11,George Armstrong,73
Number 11,John Roberts,72
Number 11,Eddie Kelly,74
Number 11,Jon Sammels,71
Number 11,George Graham,73
Number 11,Ray Kennedy,70
Number 11,Charlie George,71
Number 11,John Radford,70
Number 11,Bobby Gould,69
Number 11,David Jenkins,69
Number 11,Tom Walley,66
Number 11,George Eastham,66
Number 11,Alan Skirton,66
Number 11,Terry Anderson,65
Number 11,George Armstrong,70
Number 11,Alan Skirton,63
Number 11,Jackie Henderson,59
Number 11,Gerry Ward,58
Number 11,Dan Le Roux,58
Number 11,Joe Haverty,60
Number 11,Don Roper,57
Number 11,Mike Tiddy,58
Number 11,Gordon Nutt,56
Number 11,Joe Haverty,55
Number 11,Don Roper,55
Number 11,Freddie Cox,52
Number 11,Ben Marden,51
Number 11,Denis Compton,50
Number 11,Ian McPherson,50
Number 11,Don Roper,51
Number 11,Reg Lewis,49
Number 11,Thomas Vallance,49
Number 12,Jurrien Timber,24
Number 12,William Saliba,23
Number 12,Willian,21
Number 12,Stephan Lichtsteiner,19
Number 12,Olivier Giroud,18
Number 12,Thierry Henry,12
Number 12,Carlos Vela,10
Number 12,Laurén,07
Number 12,Christopher Wreh,00
Number 12,Andy Linighan,97
Number 12,Vince Bartram,95
Number 12,Martin Keown,95
Number 12,Andy Linighan,94
Number 12,Steve Bould,95
Number 12,Steve Morrow,93
Number 12,Anders Limpar,93
Number 12,David O'Leary,93
Number 12,David Hillier,91
Number 12,Kevin Campbell,91
Number 12,Perry Groves,91
Number 12,Colin Pates,90
Number 12,Alan Smith,90
Number 12,Sigurdur Jónsson,90
Number 12,Martin Hayes,90
Number 12,Perry Groves,89
Number 12,Niall Quinn,88
Number 12,Graham Rix,88
Number 12,Perry Groves,87
Number 12,Paul Merson,87
Number 12,Gus Caesar,87
Number 12,Martin Hayes,88
Number 12,Ian Allinson,87
Number 12,Niall Quinn,86
Number 12,Paul Mariner,86
Number 12,Chris Whyte,86
Number 12,Brian Talbot,85
Number 12,Charlie Nicholas,85
Number 12,Tony Adams,85
Number 12,Martin Hayes,85
Number 12,Paul Davis,86
Number 12,Ian Allinson,85
Number 12,Raphael Meade,84
Number 12,John Hawley,83
Number 12,Paul Davis,83
Number 12,Lee Chapman,84
Number 12,Peter Nicholas,82
Number 12,Raphael Meade,82
Number 12,Ray Hankin,82
Number 12,John Devine,82
Number 12,David Price,81
Number 12,Brian McDermott,84
Number 12,John Hollins,80
Number 12,Paul Vaessen,82
Number 12,Steve Gatting,81
Number 12,Sammy Nelson,80
Number 12,Steve Brignall,79
Number 12,John Kosmina,79
Number 12,Graham Rix,78
Number 12,Steve Walford,80
Number 12,John Matthews,78
Number 12,Peter Simpson,78
Number 12,Peter Storey,77
Number 12,Richie Powling,77
Number 12,Frank Stapleton,76
Number 12,Terry Mancini,76
Number 12,Liam Brady,76
Number 12,Peter Simpson,76
Number 12,Richie Powling,75
Number 12,Brian Chambers,74
Number 12,Eddie Kelly,74
Number 12,Peter Simpson,74
Number 12,Sammy Nelson,73
Number 12,Frank McLintock,73
Number 12,Charlie George,73
Number 12,John Radford,73
Number 12,Ray Kennedy,72
Number 12,Peter Simpson,72
Number 12,Eddie Kelly,72
Number 12,John Roberts,72
Number 12,Peter Marinello,72
Number 12,George Graham,71
Number 12,Charlie George,70
Number 12,Ray Kennedy,70
Number 12,Terry Neill,70
Number 12,John Radford,69
Number 12,George Graham,69
Number 12,George Armstrong,69
Number 12,Bobby Gould,69
Number 12,Colin Addison,68
Number 12,George Johnston,68
Number 12,Bob McNab,67
Number 12,Tom Walley,67
Number 12,Micky Boot,67
Number 12,Jimmy McGill,67
Number 12,Billy McCullough,66
Number 12,Peter Simpson,67
Number 13,Rúnar Alex Rúnarsson,24
Number 13,Rúnar Alex Rúnarsson,21
Number 13,David Ospina,19
Number 13,Emiliano Viviano,14
Number 13,Wojciech Szczesny,12
Number 13,Jens Lehmann,11
Number 13,Aleksandr Hleb,08
Number 13,Stuart Taylor,05
Number 13,Alexander Manninger,01
Number 13,Vince Bartram,97
Number 13,David Hillier,95
Number 13,Steve Morrow,95
Number 13,Alan Smith,94
Number 13,Alan Miller,94
Number 13,Steve Morrow,92
Number 13,David Rocastle,92
Number 13,Pal Lydersen,92
Number 13,Ray Parlour,92
Number 13,Andy Linighan,92
Number 13,David O'Leary,93
Number 13,Steve Bould,92
Number 13,Anders Limpar,92
Number 13,Colin Pates,92
Number 13,Kevin Campbell,92
Number 13,Sigurdur Jónsson,92
Number 13,Alan Smith,91
Number 13,Perry Groves,92
Number 14,Eddie Nketiah,22
Number 14,Pierre-Emerick Aubameyang,22
Number 14,Theo Walcott,18
Number 14,Thierry Henry,07
Number 14,David Hillier,95
Number 14,Paul Davis,95
Number 14,Martin Keown,99
Number 14,Eddie McGoldrick,95
Number 14,Mark Flatts,93
Number 14,Alan Smith,93
Number 14,Neil Heaney,93
Number 14,Ray Parlour,92
Number 14,Jimmy Carter,92
Number 14,Anders Limpar,92
Number 14,David Hillier,92
Number 14,Paul Davis,93
Number 14,Michael Thomas,92
Number 14,Perry Groves,92
Number 14,David O'Leary,91
Number 14,Kevin Campbell,92
Number 14,Sigurdur Jónsson,90
Number 14,Paul Merson,90
Number 14,Martin Hayes,89
Number 14,Gus Caesar,88
Number 14,Michael Thomas,87
Number 15,Jakub Kiwior,23
Number 15,Ainsley Maitland-Niles,22
Number 15,Alex Oxlade-Chamberlain,18
Number 15,Denílson,11
Number 15,Cesc Fàbregas,06
Number 15,Ray Parlour,04
Number 15,Stefan Schwarz,95
Number 15,Chris Kiwomya,95
Number 15,Kevin Campbell,95
Number 15,Eddie McGoldrick,95
Number 15,Ray Parlour,94
Number 15,Anders Limpar,94
Number 15,Steve Morrow,93
Number 15,Perry Groves,92
Number 15,George Armstrong,70
Number 16,Rob Holding,17
Number 16,Aaron Ramsey,16
Number 16,Mathieu Flamini,08
Number 16,Giovanni van Bronckhorst,04
Number 16,Sylvinho,01
Number 16,Stephen Hughes,99
Number 16,John Hartson,97
Number 16,Steve Morrow,95
Number 16,Vince Bartram,95
Number 16,Paul Dickov,94
Number 16,Alan Miller,92
Number 17,Cédric Soares,20
Number 17,Alex Iwobi,19
Number 17,Alexis Sánchez,16
Number 17,Nacho Monreal,14
Number 17,Alex Song,12
Number 17,Edú Gaspar,05
Number 17,Emmanuel Petit,00
Number 17,David Hillier,97
Number 17,John Jensen,95
Number 18,Takehiro Tomiyasu,22
Number 18,Thomas Partey,21
Number 18,Nacho Monreal,20
Number 18,Sébastien Squillaci,13
Number 18,Mikaël Silvestre,10
Number 18,Pascal Cygan,07
Number 18,Gilles Grimandi,02
Number 18,Steve Morrow,97
Number 18,David Hillier,95
Number 19,Leandro Trossard,23
Number 19,Nicolas Pépé,23
Number 19,Bernd Leno,19
Number 19,Santi Cazorla,18
Number 19,Jack Wilshere,12
Number 19,Gilberto Silva,08
Number 19,Junichi Inamoto,02
Number 19,Stefan Malz,01
Number 19,Rémi Garde,99
Number 19,Chris Kiwomya,97
Number 19,John Jensen,96
Number 19,Jimmy Carter,95
Number 20,Jorginho,23
Number 20,Nuno Tavares,22
Number 20,Shkodran Mustafi,21
Number 20,Mathieu Flamini,16
Number 20,Johan Djourou,13
Number 20,Philippe Senderos,06
Number 20,Guillaume Warmuz,03
Number 20,Matthew Upson,03
Number 20,Chris Kiwomya,96
Number 20,Pal Lydersen,95
Number 21,Fábio Vieira,23
Number 21,Calum Chambers,22
Number 21,Calum Chambers,18
Number 21,Lukasz Fabianski,14
Number 21,Mart Poom,07
Number 21,Jermaine Pennant,05
Number 21,Jermaine Pennant,03
Number 21,Tomas Danilevicius,01
Number 21,Luís Boa Morte,00
Number 21,Eddie McGoldrick,97
Number 21,Steve Morrow,95
Number 23,Albert Sambi Lokonga,22
Number 23,David Luiz,21
Number 23,Danny Welbeck,19
Number 23,Nicklas Bendtner,14
Number 23,Andrey Arshavin,13
Number 23,Sol Campbell,06
Number 23,Nelson Vivas,01
Number 23,Stephen Hughes,00
Number 23,Alberto Méndez,99
Number 23,Paul Dickov,97
Number 23,Ray Parlour,95
Number 24,Reiss Nelson,20
Number 24,Héctor Bellerín,18
Number 24,Abou Diaby,15
Number 24,Vito Mannone,13
Number 24,Vito Mannone,07
Number 24,Manuel Almunia,08
Number 24,Rami Shaaban,04
Number 24,Richard Wright,02
Number 24,John Lukic,01
Number 24,Paul Dickov,95
Number 24,Mark Flatts,94
Number 25,Mohamed Elneny,21
Number 25,Carl Jenkinson,19
Number 25,Carl Jenkinson,17
Number 25,Kerrea Gilbert,08
Number 25,Emmanuel Adebayor,09
Number 25,Nwankwo Kanu,04
Number 25,Scott Marshall,98
Number 25,Mark Flatts,95
Number 25,Neil Heaney,94
Number 26,Folarin Balogun,24
Number 26,Folarin Balogun,22
Number 26,Emiliano Martínez,21
Number 26,Emiliano Martínez,17
Number 26,Emmanuel Frimpong,14
Number 26,Abu Ogogo,09
Number 26,Nicklas Bendtner,09
Number 26,Quincy Owusu-Abeyie,06
Number 26,Igors Stepanovs,03
Number 26,Moritz Volz,00
Number 26,Fabián Caballero,99
Number 26,Vince Bartram,98
Number 26,Lee Harper,97
Number 26,Jim Will,94
Number 27,Marquinhos,23
Number 27,Konstantinos Mavropanos,20
Number 27,Serge Gnabry,16
Number 27,Gervinho,13
Number 27,Emmanuel Eboué,11
Number 27,Stathis Tavlaridis,04
Number 27,Christopher Wreh,01
Number 27,Kaba Diawara,99
Number 27,Paul Shaw,97
Number 27,Scott Marshall,95
Number 27,Paul Dickov,94
Number 29,Kai Havertz,24
Number 29,Mattéo Guendouzi,20
Number 29,Granit Xhaka,18
Number 29,Kim Källström,14
Number 29,Marouane Chamakh,13
Number 29,Sebastian Larsson,06
